index	title	author	date	genre	genre_hum	x	y
00000075	The sword of Damocles	Green, Anna Katharine	1881	Detective and mystery	Detective and mystery	-2.028768301010132	-9.419506072998047
00000080	A modern instance	Howells, William Dean	1881	Domestic	Domestic	-1.6764737367630005	-8.98976993560791
00000154	Anne	Woolson, Constance Fenimore	1882	Detective and mystery	Detective and mystery	-1.8313062191009521	-9.054137229919434
00000164	Old Creole days	Cable, George Washington	1883	Historical	Historical	-2.643253803253174	-7.8382248878479
00000179	Hand and ring	Green, Anna Katharine	1883	Detective and mystery	Detective and mystery	0.24070361256599426	-4.286900997161865
00000331	Barriers burned away	Roe, Edward Payson	1885	Historical	Historical	-1.9315365552902222	-9.240105628967285
00000381	The Bostonians	James, Henry	1886	Romance	Romance	-0.4683305621147156	-9.076321601867676
00000390	Princess	McClelland, M. G.	1886	Romance	Romance	-1.911818504333496	-8.972858428955078
00000401	Dyke Darrel: the railroad detective: or: The crime of the midnight express	Pinkerton, A. Frank	1886	Detective and mystery	Detective and mystery	-2.577361822128296	-8.547484397888184
00000402	He fell in love with his wife	Roe, Edward Payson	1886	Romance	Romance	-1.9918736219406128	-8.853650093078613
00000403	From jest to earnest	Roe, Edward Payson	1886	Romance	Romance	-1.8984564542770386	-9.265379905700684
00000449	The crusade of the Excelsior	Harte, Bret	1887	Westerns	Westerns	-2.794010877609253	-8.376733779907227
00000475	Jim Cummings: or: The great Adams Express robbery	Pinkerton, A. Frank	1887	Detective and mystery	Detective and mystery	-5.104954242706299	-9.179790496826172
00000487	What dreams may come	Atherton, Gertrude Franklin Horn	1888	Romance	Romance	-0.4558704197406769	-8.379531860351562
00000511	The midnight queen	Fleming, May Agnes	1888	Fantasy	Fantasy	-2.7524094581604004	-8.715173721313477
00000580	Sara Crewe: or: What happened at Miss Minchin's	Burnett, Frances Hodgson	1889	Romance	Romance	0.3070886731147766	-5.150195121765137
00000581	Vagabondia	Burnett, Frances Hodgson	1889	Romance	Romance	-1.032222032546997	-8.819425582885742
00000614	Three men in a boat	Jerome, Jerome K.	1889	Adventure	Adventure	2.7367680072784424	-8.215523719787598
00000627	The last American	Mitchell, John Ames	1889	Science fiction	Science fiction	-0.45240074396133423	-5.135706901550293
00000671	At fault	Chopin, Kate	1890	Romance	Romance	-2.5554728507995605	-7.938796043395996
00000679	The witch of Prague	Crawford, F. Marion	1890	Fantasy	Fantasy	-0.5527398586273193	-10.263703346252441
00000684	In the valley	Frederic, Harold	1890	Historical	Historical	-3.924861431121826	-6.933579921722412
00000694	The forsaken inn	Green, Anna Katharine	1890	Detective and mystery	Detective and mystery	-2.06294846534729	-9.747716903686523
00000713	The Aztec treasure-house	Janvier, Thomas A.	1890	Adventure	Adventure	-4.075468063354492	-7.504693031311035
00000721	Mizora	Lane, Mary E. Bradley	1890	Science fiction	Science fiction	-1.9255011081695557	-9.046679496765137
00000766	Khaled: a tale of Arabia	Crawford, F. Marion	1891	Fantasy	Fantasy	-2.8999171257019043	-5.158020973205566
00000832	Colonel Carter of Cartersville	Smith, Francis Hopkinson	1891	Romance	Romance	-1.6528867483139038	-6.564455509185791
00000871	Fair to look upon	Freeley, Mary Belle	1892	Romance	Romance	-1.6539463996887207	-5.288696765899658
00000883	Lily Pearl and the mistress of Rosedale	Glenwood, Ida	1892	Romance	Romance	-2.182171583175659	-9.137773513793945
00000957	Donald and Dorothy	Dodge, Mary Mapes	1893	Romance	Romance	-1.1617947816848755	-7.398419380187988
00001004	A century too soon	Musick, John R.	1893	Historical	Historical	-3.7668285369873047	-6.758289813995361
00001008	The witch of Salem: or: Credulity run mad	Musick, John R.	1893	Historical	Historical	-3.6797842979431152	-6.810519218444824
00001009	Sustained honor	Musick, John R.	1893	Historical	Historical	-3.699138641357422	-6.727903842926025
00001084	The land of the changing sun	Harben, Will N.	1894	Science fiction	Science fiction	-4.5891008377075195	-6.508789539337158
00001111	The mystery of Evelin Delorme	Paine, Albert Bigelow	1894	Detective and mystery	Detective and mystery	0.05670374631881714	-5.9466753005981445
00001130	Tom Sawyer abroad	Twain, Mark	1894	Adventure	Adventure	0.9835285544395447	-4.288449287414551
00001177	Rose of Dutcher's Coolly	Garland, Hamlin	1895	Domestic	Domestic	-1.7785863876342773	-8.102978706359863
00001180	The doctor: his wife and the clock	Green, Anna Katharine	1895	Detective and mystery	Detective and mystery	0.309685617685318	-6.482320308685303
00001205	The three impostors	Machen, Arthur	1895	Horror	Horror	0.8884454369544983	-10.339374542236328
00001238	The story of the other wise man	Van Dyke, Henry	1895	Religious	Religious	-1.8312304019927979	-4.95343017578125
00001366	Red men and white	Wister, Owen	1896	Westerns	Westerns	-4.5921406745910645	-9.234548568725586
00001382	The ghost of Guir house	Beale, Charles Willing	1897	Detective and mystery	Detective and mystery	-0.1633506417274475	-7.837176322937012
00001383	From a girl's point of view	Bell, Lilian	1897	Romance	Romance	-0.0038308987859636545	-6.979450225830078
00001443	That affair next door	Green, Anna Katharine	1897	Detective and mystery	Detective and mystery	-1.9993963241577148	-10.146564483642578
00001467	Wolfville	Lewis, Alfred Henry	1897	Westerns	Westerns	-5.4213666915893555	-9.894964218139648
00001472	A romance in transit	Lynde, Francis	1897	Romance	Romance	-0.24528172612190247	-6.958216667175293
00001528	The Californians	Atherton, Gertrude Franklin Horn	1898	Westerns	Westerns	-0.5219653844833374	-9.173343658447266
00001530	Ghosts I have met and some others	Bangs, John Kendrick	1898	Fantasy	Fantasy	0.1843021959066391	-6.580467700958252
00001666	Lin McLean	Wister, Owen	1898	Westerns	Westerns	-4.719448089599609	-9.330934524536133
00001690	In connection with the De Willoughby claim	Burnett, Frances Hodgson	1899	Romance	Romance	-2.24385142326355	-7.804446220397949
00001729	The trail of the goldseekers	Garland, Hamlin	1899	Westerns	Westerns	-5.497247219085693	-8.49909496307373
00001733	Agatha Webb	Green, Anna Katharine	1899	Detective and mystery	Detective and mystery	-1.9328712224960327	-10.117663383483887
00001734	Imperium in imperio	Griggs, Sutton Elbert	1899	Political	Political	-2.737748622894287	-7.645293235778809
00001825	The wolf's long howl	Waterloo, Stanley	1899	Science fiction	Science fiction	-3.255659341812134	-8.709253311157227
00001840	Senator North	Atherton, Gertrude Franklin Horn	1900	Political	Political	-1.0717034339904785	-9.302648544311523
00001900	Wanted: a match maker	Ford, Paul Leicester	1900	Romance	Romance	0.240846648812294	-5.66176700592041
00001916	The circular study	Green, Anna Katharine	1900	Detective and mystery	Detective and mystery	0.3152712285518646	-6.2236857414245605
00001970	The autobiography of a quack and the case of George Dedlow	Mitchell, S. Weir	1900	Political	Political	0.21493391692638397	-6.345455646514893
00002002	The moon metal	Serviss, Garrett Putman	1900	Science fiction	Science fiction	-4.602023601531982	-6.531667709350586
00002024	Penelope's experiences in Scotland	Wiggin, Kate Douglas Smith	1900	Romance	Romance	0.01669364795088768	-9.1546630859375
00002050	The marrow of tradition	Chesnutt, Charles W.	1901	Historical	Historical	-2.724175214767456	-7.979936599731445
00002056	Marietta	Crawford, F. Marion	1901	Romance	Romance	-0.4228888750076294	-10.322978973388672
00002058	In the fog	Davis, Richard Harding	1901	Detective and mystery	Detective and mystery	0.706227719783783	-5.958043098449707
00002106	The transfiguration of Miss Philura	Kingsley, Florence Morse	1901	Romance	Romance	0.15243399143218994	-5.549271583557129
00002202	The sport of the gods	Dunbar, Paul Laurence	1902	Domestic	Domestic	-1.183417797088623	-6.549170970916748
00002217	The captain of the Gray-horse troop	Garland, Hamlin	1902	Westerns	Westerns	-4.392734527587891	-9.078216552734375
00002233	The Mississippi bubble	Hough, Emerson	1902	Historical	Historical	-4.309631824493408	-6.68910026550293
00002238	The wings of the dove	James, Henry	1902	Romance	Romance	-0.2662518620491028	-9.015608787536621
00002244	A daughter of the Sioux	King, Charles	1902	Westerns	Westerns	-4.542570114135742	-8.27235221862793
00002257	Letters from a self-made merchant to his son	Lorimer, George Horace	1902	Domestic	Domestic	1.4745680093765259	-4.1071295738220215
00002305	The blazed trail	White, Stewart Edward	1902	Westerns	Westerns	-3.7648210525512695	-8.829150199890137
00002309	The Virginian	Wister, Owen	1902	Westerns	Westerns	-4.471431732177734	-9.253340721130371
00002314	The log of a cowboy	Adams, Andy	1903	Westerns	Westerns	-4.57512903213501	-9.476669311523438
00002338	The heart of Rome	Crawford, F. Marion	1903	Romance	Romance	-0.37434276938438416	-10.250986099243164
00002360	The damsel and the sage	Glyn, Elinor	1903	Romance	Romance	0.19134339690208435	-5.216278553009033
00002363	The filigree ball	Green, Anna Katharine	1903	Detective and mystery	Detective and mystery	-2.006986141204834	-10.107413291931152
00002385	The call of the wild	London, Jack	1903	Adventure	Adventure	-5.818326473236084	-7.867638111114502
00002437	Sanctuary	Wharton, Edith	1903	Domestic	Domestic	0.10146351158618927	-7.531549453735352
00002445	That printer of Udell's	Wright, Harold Bell	1903	Religious	Religious	-2.069314479827881	-7.137573719024658
00002464	In search of the unknown	Chambers, Robert W.	1904	Science fiction	Science fiction	-1.12177312374115	-7.875921249389648
00002505	Nancy Stair	Lane, Elinor Macartney	1904	Romance	Romance	-1.6510003805160522	-8.076850891113281
